Correct/IndistMachines	FSMtype	States	Inputs	Outputs	ES	Resets	Symbols	seconds	AlgorithmType	Algorithm	AlgId	fileName
0	2	4	2	2	2	22	177	0.000000	TS	SPY-method	1	Mealy_R4_HS.fsm
0	2	4	2	2	2	29	198	0.001000	TS	SPYH-method	2	Mealy_R4_HS.fsm
0	2	4	2	2	0	8	30	0.000000	TS	H-method	0	Mealy_R4_PDS.fsm
0	2	4	2	2	0	6	25	0.000000	TS	SPY-method	1	Mealy_R4_PDS.fsm
0	2	4	2	2	0	4	20	0.000000	TS	SPYH-method	2	Mealy_R4_PDS.fsm
0	2	4	2	2	1	13	67	0.000000	TS	H-method	0	Mealy_R4_PDS.fsm
0	2	4	2	2	1	11	63	0.000000	TS	SPY-method	1	Mealy_R4_PDS.fsm
0	2	4	2	2	1	10	50	0.000000	TS	SPYH-method	2	Mealy_R4_PDS.fsm
0	2	4	2	2	2	27	166	0.000000	TS	H-method	0	Mealy_R4_PDS.fsm
0	2	4	2	2	2	20	139	0.000000	TS	SPY-method	1	Mealy_R4_PDS.fsm
0	2	4	2	2	2	18	131	0.001001	TS	SPYH-method	2	Mealy_R4_PDS.fsm
0	2	4	2	2	0	10	41	0.000000	TS	H-method	0	Mealy_R4_SCSet.fsm
0	2	4	2	2	0	9	43	0.000000	TS	SPY-method	1	Mealy_R4_SCSet.fsm
0	2	4	2	2	0	9	39	0.000000	TS	SPYH-method	2	Mealy_R4_SCSet.fsm
0	2	4	2	2	1	20	104	0.001001	TS	H-method	0	Mealy_R4_SCSet.fsm
0	2	4	2	2	1	15	86	0.000000	TS	SPY-method	1	Mealy_R4_SCSet.fsm
0	2	4	2	2	1	17	95	0.000000	TS	SPYH-method	2	Mealy_R4_SCSet.fsm
0	2	4	2	2	2	42	261	0.000000	TS	H-method	0	Mealy_R4_SCSet.fsm
0	2	4	2	2	2	26	191	0.001000	TS	SPY-method	1	Mealy_R4_SCSet.fsm
0	2	4	2	2	2	28	209	0.000000	TS	SPYH-method	2	Mealy_R4_SCSet.fsm
0	2	4	2	2	0	8	29	0.000000	TS	H-method	0	Mealy_R4_SS.fsm
0	2	4	2	2	0	8	31	0.000000	TS	SPY-method	1	Mealy_R4_SS.fsm
0	2	4	2	2	0	4	20	0.000000	TS	SPYH-method	2	Mealy_R4_SS.fsm
0	2	4	2	2	1	10	54	0.000000	TS	H-method	0	Mealy_R4_SS.fsm
0	2	4	2	2	1	12	71	0.000000	TS	SPY-method	1	Mealy_R4_SS.fsm
0	2	4	2	2	1	12	67	0.000000	TS	SPYH-method	2	Mealy_R4_SS.fsm
0	2	4	2	2	2	21	133	0.000000	TS	H-method	0	Mealy_R4_SS.fsm
0	2	4	2	2	2	22	164	0.000000	TS	SPY-method	1	Mealy_R4_SS.fsm
0	2	4	2	2	2	18	125	0.001000	TS	SPYH-method	2	Mealy_R4_SS.fsm
0	2	4	2	2	0	8	34	0.000000	TS	H-method	0	Mealy_R4_SVS.fsm
0	2	4	2	2	0	7	33	0.000000	TS	SPY-method	1	Mealy_R4_SVS.fsm
0	2	4	2	2	0	6	29	0.000000	TS	SPYH-method	2	Mealy_R4_SVS.fsm
0	2	4	2	2	1	20	98	0.000000	TS	H-method	0	Mealy_R4_SVS.fsm
0	2	4	2	2	1	13	78	0.000000	TS	SPY-method	1	Mealy_R4_SVS.fsm
0	2	4	2	2	1	15	88	0.000000	TS	SPYH-method	2	Mealy_R4_SVS.fsm
0	2	4	2	2	2	40	236	0.001001	TS	H-method	0	Mealy_R4_SVS.fsm
0	2	4	2	2	2	22	177	0.000000	TS	SPY-method	1	Mealy_R4_SVS.fsm
0	2	4	2	2	2	29	198	0.001000	TS	SPYH-method	2	Mealy_R4_SVS.fsm
0	2	4	3	3	0	12	44	0.000000	TS	H-method	0	Mealy_R4_Zhu1993.fsm
0	2	4	3	3	0	12	46	0.000000	TS	SPY-method	1	Mealy_R4_Zhu1993.fsm
0	2	4	3	3	0	14	51	0.001001	TS	SPYH-method	2	Mealy_R4_Zhu1993.fsm
0	2	4	3	3	1	39	183	0.000000	TS	H-method	0	Mealy_R4_Zhu1993.fsm
0	2	4	3	3	1	33	172	0.000000	TS	SPY-method	1	Mealy_R4_Zhu1993.fsm
0	2	4	3	3	1	38	186	0.001001	TS	SPYH-method	2	Mealy_R4_Zhu1993.fsm
0	2	4	3	3	2	111	637	0.000000	TS	H-method	0	Mealy_R4_Zhu1993.fsm
0	2	4	3	3	2	93	609	0.001001	TS	SPY-method	1	Mealy_R4_Zhu1993.fsm
0	2	4	3	3	2	101	648	0.001001	TS	SPYH-method	2	Mealy_R4_Zhu1993.fsm
0	2	5	3	2	0	19	72	0.000000	TS	H-method	0	Mealy_R5.fsm
0	2	5	3	2	0	12	69	0.000000	TS	SPY-method	1	Mealy_R5.fsm
0	2	5	3	2	0	16	73	0.000000	TS	SPYH-method	2	Mealy_R5.fsm
0	2	5	3	2	1	56	279	0.000000	TS	H-method	0	Mealy_R5.fsm
0	2	5	3	2	1	39	259	0.001000	TS	SPY-method	1	Mealy_R5.fsm
0	2	5	3	2	1	46	280	0.001001	TS	SPYH-method	2	Mealy_R5.fsm
0	2	5	3	2	2	168	1003	0.000000	TS	H-method	0	Mealy_R5.fsm
0	2	5	3	2	2	124	913	0.002001	TS	SPY-method	1	Mealy_R5.fsm
0	2	5	3	2	2	137	999	0.003002	TS	SPYH-method	2	Mealy_R5.fsm
