FSMtype	States	Inputs	Outputs	Reduced	StronglyConnected	AccessSmax	AccessSmean	AccessSmedian	AccessSvariance	SepSmax	SepSmean	SepSmedian	SepSvariance	noSVS	SVSmax	SVSmean	SVSmedian	SVSvariance	ADSmax	ADSmean	ADSmedian	ADSvariance
4	100	2	2	1	1	11	5.670000	7.500000	4.401100	3	1.132727	1.000000	0.133293	14	8	5.511628	6.000000	0.435911	-1	-1	-1	-1	DFA_R100_zzDgQ.fsm
4	10	2	2	1	1	4	2.500000	3.500000	1.450000	2	1.088889	1.000000	0.080988	1	4	3.333333	3.000000	0.222222	-1	-1	-1	-1	DFA_R10_07AQb.fsm
4	10	2	2	1	1	6	3.300000	4.500000	3.210000	3	1.133333	1.000000	0.160000	0	5	3.500000	5.000000	1.050000	5	4.000000	5.000000	1.000000	DFA_R10_1G5ix.fsm
4	10	2	2	1	1	7	3.300000	3.500000	4.810000	2	1.111111	1.000000	0.098765	0	4	3.000000	3.000000	0.600000	-1	-1	-1	-1	DFA_R10_1vV4O.fsm
4	10	2	2	1	1	5	2.700000	3.500000	2.010000	2	1.088889	1.000000	0.080988	0	4	3.000000	3.000000	0.400000	-1	-1	-1	-1	DFA_R10_1WDQu.fsm
4	10	2	2	1	1	5	2.300000	2.500000	2.010000	2	1.088889	1.000000	0.080988	0	4	3.200000	3.000000	0.360000	-1	-1	-1	-1	DFA_R10_2EQ4I.fsm
4	10	2	2	1	1	5	2.500000	4.500000	2.250000	2	1.066667	1.000000	0.062222	0	4	3.000000	3.500000	0.200000	4	3.400000	3.500000	0.240000	DFA_R10_3yYdE.fsm
4	10	2	2	1	1	4	2.300000	3.500000	1.610000	2	1.088889	1.000000	0.080988	0	4	3.100000	3.000000	0.090000	5	3.600000	3.500000	0.640000	DFA_R10_4GEP3.fsm
4	10	2	2	1	1	4	2.100000	3.000000	1.290000	3	1.155556	1.000000	0.175802	0	4	3.200000	3.500000	0.360000	5	4.000000	5.000000	1.000000	DFA_R10_4z0xm.fsm
4	10	2	2	1	1	6	3.800000	4.500000	4.360000	2	1.066667	1.000000	0.062222	0	4	3.100000	4.000000	0.490000	4	3.500000	4.000000	0.450000	DFA_R10_51h41.fsm
4	10	2	2	1	1	4	2.300000	2.500000	1.610000	3	1.177778	1.000000	0.190617	0	6	3.500000	3.500000	1.050000	6	4.000000	3.500000	1.600000	DFA_R10_5oOli.fsm
4	10	2	2	1	1	7	3.300000	3.500000	4.410000	3	1.600000	2.000000	0.506667	2	5	3.000000	3.000000	1.500000	-1	-1	-1	-1	DFA_R10_5W5mk.fsm
4	10	2	2	1	1	6	3.000000	4.500000	3.000000	2	1.133333	1.000000	0.115556	1	3	2.777778	3.000000	0.172840	-1	-1	-1	-1	DFA_R10_6C0lC.fsm
4	10	2	2	1	1	7	3.700000	4.500000	4.410000	2	1.111111	1.000000	0.098765	0	4	2.900000	3.000000	0.490000	5	3.600000	3.000000	0.840000	DFA_R10_6nfBp.fsm
4	10	2	2	1	1	7	3.700000	3.500000	5.610000	4	1.488889	4.000000	0.516543	2	7	4.625000	4.500000	1.734375	-1	-1	-1	-1	DFA_R10_6Xhtz.fsm
4	10	2	2	1	1	3	2.000000	2.500000	1.000000	2	1.088889	1.000000	0.080988	0	4	3.000000	3.500000	0.400000	4	3.400000	3.000000	0.240000	DFA_R10_83QQf.fsm
4	10	2	2	1	1	3	1.900000	2.500000	0.890000	3	1.622222	2.000000	0.546173	4	6	3.166667	2.000000	2.138889	-1	-1	-1	-1	DFA_R10_89PH6.fsm
4	10	2	2	1	1	4	2.300000	3.500000	1.610000	2	1.066667	1.000000	0.062222	0	4	2.900000	3.000000	0.290000	4	3.500000	3.000000	0.450000	DFA_R10_8q2Qa.fsm
4	10	2	2	1	1	7	3.900000	4.000000	5.290000	3	1.311111	1.000000	0.303210	4	5	3.500000	3.500000	0.916667	-1	-1	-1	-1	DFA_R10_8SH0R.fsm
4	10	2	2	1	1	4	2.300000	3.500000	1.610000	2	1.066667	1.000000	0.062222	3	3	2.857143	3.000000	0.122449	-1	-1	-1	-1	DFA_R10_8y834.fsm
4	10	2	2	1	1	5	2.500000	1.500000	2.250000	3	1.133333	1.000000	0.160000	0	5	3.200000	2.000000	0.760000	5	4.000000	3.500000	1.000000	DFA_R10_8ZTgJ.fsm
4	10	2	2	1	1	3	1.900000	2.000000	0.890000	6	1.533333	1.000000	1.493333	2	8	4.250000	3.500000	5.687500	-1	-1	-1	-1	DFA_R10_9JxWf.fsm
4	10	2	2	1	1	4	2.100000	2.500000	1.290000	2	1.066667	1.000000	0.062222	0	4	3.100000	3.000000	0.090000	-1	-1	-1	-1	DFA_R10_9UACn.fsm
4	10	2	2	1	1	5	2.500000	2.500000	2.250000	3	1.244444	1.000000	0.273580	0	6	3.700000	3.000000	1.810000	8	5.600000	5.000000	4.240000	DFA_R10_aYc3N.fsm
4	10	2	2	1	1	7	3.100000	2.500000	4.890000	2	1.088889	2.000000	0.080988	0	4	3.300000	4.000000	0.610000	5	3.800000	3.500000	0.760000	DFA_R10_B6aih.fsm
4	10	2	2	1	1	5	2.800000	3.500000	2.160000	2	1.111111	1.000000	0.098765	1	4	3.000000	4.000000	0.444444	-1	-1	-1	-1	DFA_R10_BCZ0D.fsm
4	10	2	2	1	1	6	3.000000	4.500000	3.000000	2	1.066667	1.000000	0.062222	3	4	2.857143	4.000000	0.408163	-1	-1	-1	-1	DFA_R10_BYJnu.fsm
4	10	2	2	1	1	5	2.300000	1.500000	2.010000	4	1.311111	1.000000	0.436543	1	6	4.555556	4.000000	1.802469	-1	-1	-1	-1	DFA_R10_BzYD4.fsm
4	10	2	2	1	1	4	2.100000	3.000000	1.290000	2	1.133333	1.000000	0.115556	1	4	3.333333	4.000000	0.222222	-1	-1	-1	-1	DFA_R10_CfNfi.fsm
